w_-3,w_-2,w_-1,w_0,w_1,w_2,w_3,cap_-3,cap_-2,cap_-1,cap_0,cap_1,cap_2,cap_3,label
during,his,years,in,chiriqui,",",however,TITLE,LOWER,LOWER,LOWER,TITLE,PUNCT,LOWER,IN
his,years,in,chiriqui,",",however,",",LOWER,LOWER,LOWER,TITLE,PUNCT,LOWER,PUNCT,NNP
years,in,chiriqui,",",however,",",mr.,LOWER,LOWER,TITLE,PUNCT,LOWER,PUNCT,TITLE,","
in,chiriqui,",",however,",",mr.,noriega,LOWER,TITLE,PUNCT,LOWER,PUNCT,TITLE,TITLE,RB
chiriqui,",",however,",",mr.,noriega,also,TITLE,PUNCT,LOWER,PUNCT,TITLE,TITLE,LOWER,","
",",however,",",mr.,noriega,also,revealed,PUNCT,LOWER,PUNCT,TITLE,TITLE,LOWER,LOWER,NNP
however,",",mr.,noriega,also,revealed,himself,LOWER,PUNCT,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
",",mr.,noriega,also,revealed,himself,as,PUNCT,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,RB
mr.,noriega,also,revealed,himself,as,an,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
noriega,also,revealed,himself,as,an,officer,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP
also,revealed,himself,as,an,officer,as,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
revealed,himself,as,an,officer,as,perverse,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
himself,as,an,officer,as,perverse,as,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
as,an,officer,as,perverse,as,he,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
an,officer,as,perverse,as,he,was,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
officer,as,perverse,as,he,was,ingenious,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
as,perverse,as,he,was,ingenious,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,PRP
perverse,as,he,was,ingenious,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,VBD
as,he,was,ingenious,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,JJ
he,was,ingenious,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,it,is,unrelated,to,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,PRP
<PAD>,<PAD>,it,is,unrelated,to,the,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,VBZ
<PAD>,it,is,unrelated,to,the,much-publicized,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
it,is,unrelated,to,the,much-publicized,virus,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
is,unrelated,to,the,much-publicized,virus,that,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
unrelated,to,the,much-publicized,virus,that,last,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
to,the,much-publicized,virus,that,last,year,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
the,much-publicized,virus,that,last,year,infected,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
much-publicized,virus,that,last,year,infected,arpanet,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,JJ
virus,that,last,year,infected,arpanet,",",LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,PUNCT,NN
that,last,year,infected,arpanet,",",a,LOWER,LOWER,LOWER,LOWER,TITLE,PUNCT,LOWER,VBN
last,year,infected,arpanet,",",a,much,LOWER,LOWER,LOWER,TITLE,PUNCT,LOWER,LOWER,NNP
year,infected,arpanet,",",a,much,larger,LOWER,LOWER,TITLE,PUNCT,LOWER,LOWER,LOWER,","
infected,arpanet,",",a,much,larger,network,LOWER,TITLE,PUNCT,LOWER,LOWER,LOWER,LOWER,DT
arpanet,",",a,much,larger,network,used,TITLE,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,RB
",",a,much,larger,network,used,by,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJR
a,much,larger,network,used,by,researchers,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
much,larger,network,used,by,researchers,at,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
larger,network,used,by,researchers,at,universities,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
network,used,by,researchers,at,universities,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,NNS
used,by,researchers,at,universities,",",laboratories,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,IN
by,researchers,at,universities,",",laboratories,and,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NNS
researchers,at,universities,",",laboratories,and,government,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
at,universities,",",laboratories,and,government,agencies,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,NNS
universities,",",laboratories,and,government,agencies,around,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,CC
",",laboratories,and,government,agencies,around,the,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
laboratories,and,government,agencies,around,the,world,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
and,government,agencies,around,the,world,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
government,agencies,around,the,world,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,DT
agencies,around,the,world,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
around,the,world,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,``,the,whole,idea,<PAD>,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,``
<PAD>,<PAD>,``,the,whole,idea,here,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,DT
<PAD>,``,the,whole,idea,here,is,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,JJ
``,the,whole,idea,here,is,the,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,NN
the,whole,idea,here,is,the,automobile,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
whole,idea,here,is,the,automobile,and,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
idea,here,is,the,automobile,and,oil,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
here,is,the,automobile,and,oil,companies,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
is,the,automobile,and,oil,companies,have,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
the,automobile,and,oil,companies,have,joint,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
automobile,and,oil,companies,have,joint,customers,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
and,oil,companies,have,joint,customers,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,VBP
oil,companies,have,joint,customers,",",'',LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,JJ
companies,have,joint,customers,",",'',said,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,NNS
have,joint,customers,",",'',said,keith,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,TITLE,","
joint,customers,",",'',said,keith,mchenry,LOWER,LOWER,PUNCT,MIXED,LOWER,TITLE,MIXED,''
customers,",",'',said,keith,mchenry,",",LOWER,PUNCT,MIXED,LOWER,TITLE,MIXED,PUNCT,VBD
",",'',said,keith,mchenry,",",a,PUNCT,MIXED,LOWER,TITLE,MIXED,PUNCT,LOWER,NNP
'',said,keith,mchenry,",",a,senior,MIXED,LOWER,TITLE,MIXED,PUNCT,LOWER,LOWER,NNP
said,keith,mchenry,",",a,senior,vice,LOWER,TITLE,MIXED,PUNCT,LOWER,LOWER,LOWER,","
keith,mchenry,",",a,senior,vice,president,TITLE,MIXED,PUNCT,LOWER,LOWER,LOWER,LOWER,DT
mchenry,",",a,senior,vice,president,of,MIXED,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
",",a,senior,vice,president,of,technology,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
a,senior,vice,president,of,technology,at,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
senior,vice,president,of,technology,at,amoco,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,IN
vice,president,of,technology,at,amoco,corp,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,NN
president,of,technology,at,amoco,corp,.,LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,PUNCT,IN
of,technology,at,amoco,corp,.,<PAD>,LOWER,LOWER,LOWER,TITLE,TITLE,PUNCT,<PAD>,NNP
technology,at,amoco,corp,.,<PAD>,<PAD>,LOWER,LOWER,TITLE,TITLE,PUNCT,<PAD>,<PAD>,NNP
at,amoco,corp,.,<PAD>,<PAD>,<PAD>,LOWER,TITLE,TITLE,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,a,spy,was,born,<PAD>,<PAD>,<PAD>,UPPER,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,a,spy,was,born,.,<PAD>,<PAD>,UPPER,LOWER,LOWER,LOWER,PUNCT,NN
<PAD>,a,spy,was,born,.,<PAD>,<PAD>,UPPER,LOWER,LOWER,LOWER,PUNCT,<PAD>,VBD
a,spy,was,born,.,<PAD>,<PAD>,UPPER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,VBN
spy,was,born,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,irs,notice,89-136,describes,<PAD>,<PAD>,<PAD>,UPPER,TITLE,MIXED,LOWER,NNP
<PAD>,<PAD>,irs,notice,89-136,describes,this,<PAD>,<PAD>,UPPER,TITLE,MIXED,LOWER,LOWER,NN
<PAD>,irs,notice,89-136,describes,this,and,<PAD>,UPPER,TITLE,MIXED,LOWER,LOWER,LOWER,CD
irs,notice,89-136,describes,this,and,other,UPPER,TITLE,MIXED,LOWER,LOWER,LOWER,LOWER,VBZ
notice,89-136,describes,this,and,other,deadline,TITLE,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,DT
89-136,describes,this,and,other,deadline,relief,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
describes,this,and,other,deadline,relief,for,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
this,and,other,deadline,relief,for,hugo,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,NN
and,other,deadline,relief,for,hugo,'s,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,LOWER,NN
other,deadline,relief,for,hugo,'s,victims,LOWER,LOWER,LOWER,LOWER,TITLE,LOWER,LOWER,IN
deadline,relief,for,hugo,'s,victims,.,LOWER,LOWER,LOWER,TITLE,LOWER,LOWER,PUNCT,NNP
relief,for,hugo,'s,victims,.,<PAD>,LOWER,LOWER,TITLE,LOWER,LOWER,PUNCT,<PAD>,POS
for,hugo,'s,victims,.,<PAD>,<PAD>,LOWER,TITLE,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
hugo,'s,victims,.,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,pnc,financial,cited,higher,<PAD>,<PAD>,<PAD>,UPPER,TITLE,LOWER,LOWER,NNP
<PAD>,<PAD>,pnc,financial,cited,higher,income,<PAD>,<PAD>,UPPER,TITLE,LOWER,LOWER,LOWER,NNP
<PAD>,pnc,financial,cited,higher,income,from,<PAD>,UPPER,TITLE,LOWER,LOWER,LOWER,LOWER,VBD
pnc,financial,cited,higher,income,from,sources,UPPER,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,JJR
financial,cited,higher,income,from,sources,unrelated,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
cited,higher,income,from,sources,unrelated,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
higher,income,from,sources,unrelated,to,interest,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
income,from,sources,unrelated,to,interest,and,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
from,sources,unrelated,to,interest,and,said,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
sources,unrelated,to,interest,and,said,it,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
unrelated,to,interest,and,said,it,continues,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
to,interest,and,said,it,continues,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
interest,and,said,it,continues,to,cut,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP
and,said,it,continues,to,cut,costs,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
said,it,continues,to,cut,costs,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,TO
it,continues,to,cut,costs,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,VB
continues,to,cut,costs,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
to,cut,costs,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,it,lets,victims,elect,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,PRP
<PAD>,<PAD>,it,lets,victims,elect,to,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,VBZ
<PAD>,it,lets,victims,elect,to,deduct,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
it,lets,victims,elect,to,deduct,casualty,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBP
lets,victims,elect,to,deduct,casualty,losses,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
victims,elect,to,deduct,casualty,losses,on,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
elect,to,deduct,casualty,losses,on,either,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
to,deduct,casualty,losses,on,either,1989,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,NNS
deduct,casualty,losses,on,either,1989,or,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,LOWER,IN
casualty,losses,on,either,1989,or,amended,LOWER,LOWER,LOWER,LOWER,DIGIT,LOWER,LOWER,DT
losses,on,either,1989,or,amended,1988,LOWER,LOWER,LOWER,DIGIT,LOWER,LOWER,DIGIT,CD
on,either,1989,or,amended,1988,returns,LOWER,LOWER,DIGIT,LOWER,LOWER,DIGIT,LOWER,CC
either,1989,or,amended,1988,returns,",",LOWER,DIGIT,LOWER,LOWER,DIGIT,LOWER,PUNCT,VBN
1989,or,amended,1988,returns,",",whichever,DIGIT,LOWER,LOWER,DIGIT,LOWER,PUNCT,LOWER,CD
or,amended,1988,returns,",",whichever,offers,LOWER,LOWER,DIGIT,LOWER,PUNCT,LOWER,LOWER,NNS
amended,1988,returns,",",whichever,offers,the,LOWER,DIGIT,LOWER,PUNCT,LOWER,LOWER,LOWER,","
1988,returns,",",whichever,offers,the,larger,DIGIT,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,WDT
returns,",",whichever,offers,the,larger,tax,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
",",whichever,offers,the,larger,tax,benefit,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
whichever,offers,the,larger,tax,benefit,;,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,JJR
offers,the,larger,tax,benefit,;,they,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,NN
the,larger,tax,benefit,;,they,have,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
larger,tax,benefit,;,they,have,until,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,:
tax,benefit,;,they,have,until,april,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,TITLE,PRP
benefit,;,they,have,until,april,16,LOWER,PUNCT,LOWER,LOWER,LOWER,TITLE,DIGIT,VBP
;,they,have,until,april,16,to,PUNCT,LOWER,LOWER,LOWER,TITLE,DIGIT,LOWER,IN
they,have,until,april,16,to,choose,LOWER,LOWER,LOWER,TITLE,DIGIT,LOWER,LOWER,NNP
have,until,april,16,to,choose,.,LOWER,LOWER,TITLE,DIGIT,LOWER,LOWER,PUNCT,CD
until,april,16,to,choose,.,<PAD>,LOWER,TITLE,DIGIT,LOWER,LOWER,PUNCT,<PAD>,TO
april,16,to,choose,.,<PAD>,<PAD>,TITLE,DIGIT,LOWER,LOWER,PUNCT,<PAD>,<PAD>,VB
16,to,choose,.,<PAD>,<PAD>,<PAD>,DIGIT,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,some,competing,forest-products,firms,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,some,competing,forest-products,firms,have,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,VBG
<PAD>,some,competing,forest-products,firms,have,recently,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
some,competing,forest-products,firms,have,recently,reported,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
competing,forest-products,firms,have,recently,reported,improved,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBP
forest-products,firms,have,recently,reported,improved,results,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
firms,have,recently,reported,improved,results,due,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
have,recently,reported,improved,results,due,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
recently,reported,improved,results,due,to,strong,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
reported,improved,results,due,to,strong,pulp,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
improved,results,due,to,strong,pulp,and,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
results,due,to,strong,pulp,and,paper,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
due,to,strong,pulp,and,paper,business,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
to,strong,pulp,and,paper,business,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,CC
strong,pulp,and,paper,business,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,NN
pulp,and,paper,business,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
and,paper,business,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,``,a,lot,of,<PAD>,<PAD>,<PAD>,MIXED,UPPER,LOWER,LOWER,``
<PAD>,<PAD>,``,a,lot,of,the,<PAD>,<PAD>,MIXED,UPPER,LOWER,LOWER,LOWER,DT
<PAD>,``,a,lot,of,the,professional,<PAD>,MIXED,UPPER,LOWER,LOWER,LOWER,LOWER,NN
``,a,lot,of,the,professional,traders,MIXED,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
a,lot,of,the,professional,traders,are,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
lot,of,the,professional,traders,are,just,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
of,the,professional,traders,are,just,going,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
the,professional,traders,are,just,going,back,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBP
professional,traders,are,just,going,back,and,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
traders,are,just,going,back,and,forth,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBG
are,just,going,back,and,forth,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,RB
just,going,back,and,forth,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,CC
going,back,and,forth,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,RB
back,and,forth,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,but,mr.,redmond,said,<PAD>,<PAD>,<PAD>,TITLE,TITLE,TITLE,LOWER,CC
<PAD>,<PAD>,but,mr.,redmond,said,the,<PAD>,<PAD>,TITLE,TITLE,TITLE,LOWER,LOWER,NNP
<PAD>,but,mr.,redmond,said,the,worm,<PAD>,TITLE,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
but,mr.,redmond,said,the,worm,hit,TITLE,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,VBD
mr.,redmond,said,the,worm,hit,universities,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,DT
redmond,said,the,worm,hit,universities,that,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
said,the,worm,hit,universities,that,had,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
the,worm,hit,universities,that,had,n't,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
worm,hit,universities,that,had,n't,elected,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,WDT
hit,universities,that,had,n't,elected,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
universities,that,had,n't,elected,to,make,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
that,had,n't,elected,to,make,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
had,n't,elected,to,make,the,changes,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
n't,elected,to,make,the,changes,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,VB
elected,to,make,the,changes,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,DT
to,make,the,changes,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
make,the,changes,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,``,i,think,that,<PAD>,<PAD>,<PAD>,MIXED,UPPER,LOWER,LOWER,``
<PAD>,<PAD>,``,i,think,that,you,<PAD>,<PAD>,MIXED,UPPER,LOWER,LOWER,LOWER,PRP
<PAD>,``,i,think,that,you,will,<PAD>,MIXED,UPPER,LOWER,LOWER,LOWER,LOWER,VBP
``,i,think,that,you,will,see,MIXED,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
i,think,that,you,will,see,a,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP
think,that,you,will,see,a,significant,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,MD
that,you,will,see,a,significant,improvement,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
you,will,see,a,significant,improvement,in,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
will,see,a,significant,improvement,in,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
see,a,significant,improvement,in,the,budget,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
a,significant,improvement,in,the,budget,formulation,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
significant,improvement,in,the,budget,formulation,and,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
improvement,in,the,budget,formulation,and,execution,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
in,the,budget,formulation,and,execution,process,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
the,budget,formulation,and,execution,process,which,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
budget,formulation,and,execution,process,which,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,NN
formulation,and,execution,process,which,",",in,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,NN
and,execution,process,which,",",in,turn,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,WDT
execution,process,which,",",in,turn,",",LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,PUNCT,","
process,which,",",in,turn,",",i,LOWER,LOWER,PUNCT,LOWER,LOWER,PUNCT,UPPER,IN
which,",",in,turn,",",i,believe,LOWER,PUNCT,LOWER,LOWER,PUNCT,UPPER,LOWER,NN
",",in,turn,",",i,believe,will,PUNCT,LOWER,LOWER,PUNCT,UPPER,LOWER,LOWER,","
in,turn,",",i,believe,will,result,LOWER,LOWER,PUNCT,UPPER,LOWER,LOWER,LOWER,PRP
turn,",",i,believe,will,result,in,LOWER,PUNCT,UPPER,LOWER,LOWER,LOWER,LOWER,VBP
",",i,believe,will,result,in,a,PUNCT,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,MD
i,believe,will,result,in,a,significant,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
believe,will,result,in,a,significant,increase,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
will,result,in,a,significant,increase,in,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
result,in,a,significant,increase,in,revenue,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
in,a,significant,increase,in,revenue,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,NN
a,significant,increase,in,revenue,",",'',LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,IN
significant,increase,in,revenue,",",'',he,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,NN
increase,in,revenue,",",'',he,said,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,LOWER,","
in,revenue,",",'',he,said,.,LOWER,LOWER,PUNCT,MIXED,LOWER,LOWER,PUNCT,''
revenue,",",'',he,said,.,<PAD>,LOWER,PUNCT,MIXED,LOWER,LOWER,PUNCT,<PAD>,PRP
",",'',he,said,.,<PAD>,<PAD>,PUNCT,MIXED,LOWER,LOWER,PUNCT,<PAD>,<PAD>,VBD
